AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_INGRESSANTES_ID_PESSOA,CONTAGEM_INGRESSOS_ID_PESSOA_PROGRAMA
2017,23,ZOOTECNIA / RECURSOS PESQUEIROS,1526,1529
2017,24,MEDICINA VETERINÁRIA,1896,1906
2017,25,CIÊNCIA DE ALIMENTOS,1156,1156
2017,26,DIREITO,4495,4507
2017,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",5235,5263
2017,28,ECONOMIA,1552,1557
2017,29,"ARQUITETURA, URBANISMO E DESIGN",1524,1525
2017,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,936,936
2017,31,COMUNICAÇÃO E INFORMAÇÃO,1896,1899
2017,32,SERVIÇO SOCIAL,703,705
2017,33,FILOSOFIA,1091,1094
2017,34,SOCIOLOGIA,1448,1449
2017,35,ANTROPOLOGIA / ARQUEOLOGIA,641,644
2017,36,GEOGRAFIA,1525,1528
2017,37,PSICOLOGIA,2622,2625
2017,38,EDUCAÇÃO,6792,6807
2017,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,993,994
2017,40,HISTÓRIA,1942,1954
2017,41,LINGUÍSTICA E LITERATURA,5317,5337
2017,42,CIÊNCIAS AGRÁRIAS I,4969,4992
2017,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,619,620
2017,45,INTERDISCIPLINAR,7839,7872
2017,46,ENSINO,3819,3845
2017,47,MATERIAIS,806,809
2017,48,BIOTECNOLOGIA,1177,1177
2017,49,CIÊNCIAS AMBIENTAIS,2582,2586
2017,50,NUTRIÇÃO,493,493
2018,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2757,2770
2018,2,CIÊNCIA DA COMPUTAÇÃO,2740,2745
2018,3,ASTRONOMIA / FÍSICA,1747,1755
2018,4,QUÍMICA,2315,2326
2018,5,GEOCIÊNCIAS,1207,1213
2018,6,CIÊNCIAS BIOLÓGICAS I,1759,1780
2018,7,BIODIVERSIDADE,2378,2398
2018,8,CIÊNCIAS BIOLÓGICAS II,1683,1685
2018,9,CIÊNCIAS BIOLÓGICAS III,761,761
2018,10,ENGENHARIAS I,3247,3258
2018,11,ARTES,1602,1603
2018,12,ENGENHARIAS II,2880,2902
2018,13,ENGENHARIAS III,3694,3713
2018,14,ENGENHARIAS IV,3224,3235
2018,15,MEDICINA I,2723,2727
2018,16,MEDICINA II,2345,2347
2018,17,MEDICINA III,894,894
2018,18,ODONTOLOGIA,2726,2733
2018,19,FARMÁCIA,1382,1383
2018,20,ENFERMAGEM,1897,1899
2018,21,EDUCAÇÃO FÍSICA,2014,2014
2018,22,SAÚDE COLETIVA,2137,2140
2018,23,ZOOTECNIA / RECURSOS PESQUEIROS,1353,1385
2018,24,MEDICINA VETERINÁRIA,1838,1849
2018,25,CIÊNCIA DE ALIMENTOS,1126,1128
2018,26,DIREITO,4647,4658
2018,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",4777,4796
2018,28,ECONOMIA,1647,1651
2018,29,"ARQUITETURA, URBANISMO E DESIGN",1585,1589
2018,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,815,815
2018,31,COMUNICAÇÃO E INFORMAÇÃO,1886,1898
2018,32,SERVIÇO SOCIAL,725,730
2018,33,FILOSOFIA,1146,1157
2018,34,SOCIOLOGIA,1354,1355
2018,35,ANTROPOLOGIA / ARQUEOLOGIA,674,674
2018,36,GEOGRAFIA,1630,1633
2018,37,PSICOLOGIA,2579,2583
2018,38,EDUCAÇÃO,7028,7039
2018,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,968,970
2018,40,HISTÓRIA,2397,2410
2018,41,LINGUÍSTICA E LITERATURA,5523,5535
2018,42,CIÊNCIAS AGRÁRIAS I,4923,4939
2018,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,526,527
2018,45,INTERDISCIPLINAR,7869,7905
2018,46,ENSINO,4381,4419
2018,47,MATERIAIS,726,726
2018,48,BIOTECNOLOGIA,1209,1210
