AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_EGRESSOS_ID_PESSOA,CONTAGEM_EGRESSOS_ID_PESSOA_PROGRAMA
2012,32,SERVIÇO SOCIAL,456,457
2012,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,539,539
2012,34,SOCIOLOGIA,934,934
2012,35,ANTROPOLOGIA / ARQUEOLOGIA,311,311
2012,36,GEOGRAFIA,912,912
2012,37,PSICOLOGIA,1489,1489
2012,38,EDUCAÇÃO,3403,3405
2012,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,388,388
2012,40,HISTÓRIA,1180,1180
2012,41,LETRAS / LINGUÍSTICA,2769,2771
2012,42,CIÊNCIAS AGRÁRIAS I,3261,3261
2012,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,338,338
2012,45,INTERDISCIPLINAR,2861,2861
2012,46,ENSINO,876,876
2012,47,MATERIAIS,242,242
2012,48,BIOTECNOLOGIA,482,482
2012,49,CIÊNCIAS AMBIENTAIS,683,683
2012,50,NUTRIÇÃO,272,272
2013,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1453,1453
2013,2,CIÊNCIA DA COMPUTAÇÃO,1564,1564
2013,3,ASTRONOMIA / FÍSICA,931,931
2013,4,QUÍMICA,1655,1655
2013,5,GEOCIÊNCIAS,781,781
2013,6,CIÊNCIAS BIOLÓGICAS I,1250,1250
2013,7,BIODIVERSIDADE,2191,2191
2013,8,CIÊNCIAS BIOLÓGICAS II,1341,1341
2013,9,CIÊNCIAS BIOLÓGICAS III,607,607
2013,10,ENGENHARIAS I,1583,1583
2013,11,ARTES / MÚSICA,787,787
2013,12,ENGENHARIAS II,1762,1762
2013,13,ENGENHARIAS III,2315,2315
2013,14,ENGENHARIAS IV,1617,1617
2013,15,MEDICINA I,1984,1984
2013,16,MEDICINA II,1661,1661
2013,17,MEDICINA III,641,641
2013,18,ODONTOLOGIA,1807,1807
2013,19,FARMÁCIA,922,922
2013,20,ENFERMAGEM,1152,1152
2013,21,EDUCAÇÃO FÍSICA,907,907
2013,22,SAÚDE COLETIVA,1367,1367
2013,23,ZOOTECNIA / RECURSOS PESQUEIROS,1302,1302
2013,24,MEDICINA VETERINÁRIA,1412,1412
