NM_SUBAREA_CONHECIMENTO,CD_AREA_AVALIACAO,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,NM_REGIAO,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,NM_PROGRAMA_IES,CD_CONCEITO_PROGRAMA,AN_INICIO_PROGRAMA,DS_SITUACAO_PROGRAMA
NÃO SE APLICA,28,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,DESENVOLVIMENTO ECONÔMICO,5,1997,EM FUNCIONAMENTO
NÃO SE APLICA,38,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,PROFISSIONAL,EDUCAÇÃO ESCOLAR,4,2016,EM FUNCIONAMENTO
TECNOLOGIA DE ALIMENTOS,25,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,TECNOLOGIA DE ALIMENTOS,5,1969,EM FUNCIONAMENTO
NÃO SE APLICA,39,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,CIÊNCIA POLÍTICA,7,1974,EM FUNCIONAMENTO
NÃO SE APLICA,6,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,BIOLOGIA MOLECULAR E MORFOFUNCIONAL,6,1980,EM FUNCIONAMENTO
NÃO SE APLICA,36,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,GEOGRAFIA,6,1983,EM FUNCIONAMENTO
NÃO SE APLICA,42,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ENGENHARIA AGRÍCOLA,5,1977,EM FUNCIONAMENTO
NÃO SE APLICA,15,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,PROFISSIONAL,CIÊNCIA APLICADA À QUALIFICAÇÃO MÉDICA,4,2017,EM FUNCIONAMENTO
CLÍNICA MÉDICA,17,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,TOCOGINECOLOGIA,7,1990,EM FUNCIONAMENTO
NÃO SE APLICA,2,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,CIÊNCIA DA COMPUTAÇÃO,7,1977,EM FUNCIONAMENTO
NÃO SE APLICA,34,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,CIÊNCIAS SOCIAIS,5,1985,EM FUNCIONAMENTO
LINGÜÍSTICA APLICADA,41,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,LINGÜÍSTICA APLICADA,6,1987,EM FUNCIONAMENTO
