AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,IN_REDE,SG_UF_PROGRAMA,CD_PROGRAMA_IES,NM_PROGRAMA_IES,DS_SITUACAO_PROGRAMA
2024,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,NÃO,BA,28013018001P0,DESENVOLVIMENTO REGIONAL E URBANO,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,BA,28013018062P9,"DIREITO, GOVERNANÇA E POLÍTICAS PÚBLICAS",EM FUNCIONAMENTO
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",NÃO,BA,28013018004P9,ADMINISTRAÇÃO,EM FUNCIONAMENTO
2024,23,ZOOTECNIA / RECURSOS PESQUEIROS,SIM,BA,28022017004P4,ZOOTECNIA,EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,BA,28022017009P6,ENGENHARIA AGRÍCOLA,EM FUNCIONAMENTO
2024,38,EDUCAÇÃO,NÃO,BA,28022017010P4,EDUCAÇÃO DO CAMPO,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,BA,28022017014P0,"EDUCAÇÃO CIENTÍFICA, INCLUSÃO E DIVERSIDADE",EM FUNCIONAMENTO
2024,40,HISTÓRIA,NÃO,BA,28022017011P0,"HISTÓRIA DA ÁFRICA, DA DIÁSPORA E DOS POVOS INDÍGENAS",EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,BA,28022017007P3,DEFESA AGROPECUÁRIA,EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,SIM,BA,28022017003P8,RECURSOS GENÉTICOS VEGETAIS,EM FUNCIONAMENTO
2024,35,ANTROPOLOGIA / ARQUEOLOGIA,NÃO,BA,28022017013P3,ARQUEOLOGIA E PATRIMÔNIO CULTURAL,EM FUNCIONAMENTO
2024,22,SAÚDE COLETIVA,NÃO,BA,28022017016P2,SAÚDE DA POPULAÇÃO NEGRA E INDÍGENA,EM FUNCIONAMENTO
2024,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,NÃO,BA,28022017008P0,GESTÃO DE POLÍTICAS PÚBLICAS,EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,BA,28022017001P5,CIÊNCIAS AGRÁRIAS,EM FUNCIONAMENTO
2024,32,SERVIÇO SOCIAL,NÃO,BA,28022017015P6,POLÍTICA SOCIAL E TERRITÓRIOS,EM FUNCIONAMENTO
2024,34,SOCIOLOGIA,NÃO,BA,28022017005P0,CIÊNCIAS SOCIAIS,EM FUNCIONAMENTO
2024,31,COMUNICAÇÃO E INFORMAÇÃO,NÃO,BA,28022017012P7,COMUNICAÇÃO,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,BA,28023013001P1,GESTÃO E TECNOLOGIA INDUSTRIAL - GETEC,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,BA,28023013002P8,MODELAGEM COMPUTACIONAL E TECNOLOGIA INDUSTRIAL,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,BA,28023013065P0,GESTÃO E TECNOLOGIA INDUSTRIAL - GETEC,EM FUNCIONAMENTO
2024,4,QUÍMICA,NÃO,BA,28023013066P6,DESENVOLVIMENTO SUSTENTÁVEL,EM FUNCIONAMENTO
2024,16,MEDICINA II,NÃO,BA,28025016001P4,BIOTECNOLOGIA EM SAÚDE E MEDICINA INVESTIGATIVA,EM FUNCIONAMENTO
2024,15,MEDICINA I,NÃO,BA,28025016002P0,PESQUISA CLINICA E TRANSLACIONAL,EM FUNCIONAMENTO
2024,49,CIÊNCIAS AMBIENTAIS,NÃO,BA,28048016001P7,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE,EM FUNCIONAMENTO
2024,49,CIÊNCIAS AMBIENTAIS,NÃO,BA,28049012001P3,CIÊNCIAS AMBIENTAIS,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,BA,28049012005P9,ENSINO,EM FUNCIONAMENTO
2024,16,MEDICINA II,NÃO,BA,28049012004P2,PATOLOGIA INVESTIGATIVA,EM FUNCIONAMENTO
2024,4,QUÍMICA,NÃO,BA,28049012002P0,QUÍMICA PURA E APLICADA,EM FUNCIONAMENTO
2024,19,FARMÁCIA,NÃO,BA,28049012007P1,BIOCIÊNCIAS E SAÚDE,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,BA,28049012003P6,CIÊNCIAS HUMANAS E SOCIAIS,EM FUNCIONAMENTO
2024,47,MATERIAIS,NÃO,BA,28049012006P5,CIÊNCIA DOS MATERIAIS (PROMAT),EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,BA,29002001001P9,PRODUÇÃO VEGETAL NO SEMIÁRIDO,EM FUNCIONAMENTO
2024,49,CIÊNCIAS AMBIENTAIS,NÃO,BA,29002001002P5,CIÊNCIAS AMBIENTAIS,EM FUNCIONAMENTO
2024,11,ARTES,NÃO,BA,29007003009P1,ARTES,EM FUNCIONAMENTO
2024,10,ENGENHARIAS I,SIM,BA,29007003008P5,ENGENHARIA CIVIL E AMBIENTAL,EM FUNCIONAMENTO
2024,49,CIÊNCIAS AMBIENTAIS,SIM,BA,29007003003P3,CIÊNCIAS E TECNOLOGIAS AMBIENTAIS,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,BA,29007003006P2,"SAÚDE, AMBIENTE E BIODIVERSIDADE",EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,BA,29007003007P9,CIÊNCIAS E SUSTENTABILIDADE,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,BA,29007003004P0,ENSINO E RELAÇÕES ÉTNICO-RACIAIS,EM FUNCIONAMENTO
2024,49,CIÊNCIAS AMBIENTAIS,NÃO,BA,29007003005P6,BIOSSISTEMAS,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,BA,29007003002P7,ESTADO E SOCIEDADE,EM FUNCIONAMENTO
2024,22,SAÚDE COLETIVA,NÃO,ES,30001013018P1,SAÚDE COLETIVA,EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,ES,30001013032P4,CIÊNCIAS FLORESTAIS,EM FUNCIONAMENTO
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,NÃO,ES,30001013023P5,MATEMÁTICA,EM FUNCIONAMENTO
2024,37,PSICOLOGIA,NÃO,ES,30001013006P3,PSICOLOGIA,EM FUNCIONAMENTO
