AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_INGRESSANTES_ID_PESSOA,CONTAGEM_INGRESSOS_ID_PESSOA_PROGRAMA
2009,8,CIÊNCIAS BIOLÓGICAS II,1651,1829
2009,9,CIÊNCIAS BIOLÓGICAS III,703,710
2009,10,ENGENHARIAS I,2585,2692
2009,11,ARTES / MÚSICA,922,954
2009,12,ENGENHARIAS II,2455,2612
2009,13,ENGENHARIAS III,3571,3824
2009,14,ENGENHARIAS IV,2566,2709
2009,15,MEDICINA I,2425,2525
2009,16,MEDICINA II,2648,2708
2009,17,MEDICINA III,1049,1089
2009,18,ODONTOLOGIA,2156,2391
2009,19,FARMÁCIA,1069,1112
2009,20,ENFERMAGEM,1463,1525
2009,21,EDUCAÇÃO FÍSICA,1235,1265
2009,22,SAÚDE COLETIVA,1492,1561
2009,23,ZOOTECNIA / RECURSOS PESQUEIROS,1583,1753
2009,24,MEDICINA VETERINÁRIA,1898,2029
2009,25,CIÊNCIA DE ALIMENTOS,1065,1129
2009,26,DIREITO,2578,2666
2009,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",2979,3269
2009,28,ECONOMIA,1271,1473
2009,29,ARQUITETURA E URBANISMO,857,880
2009,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,538,612
2009,31,CIÊNCIAS SOCIAIS APLICADAS I,1272,1320
2009,32,SERVIÇO SOCIAL,803,818
2009,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,715,780
2009,34,SOCIOLOGIA,1159,1297
2009,35,ANTROPOLOGIA / ARQUEOLOGIA,421,440
2009,36,GEOGRAFIA,1312,1403
2009,37,PSICOLOGIA,2222,2354
2009,38,EDUCAÇÃO,4400,4581
2009,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,580,724
2009,40,HISTÓRIA,1856,1986
2009,41,LETRAS / LINGUÍSTICA,3325,3613
2009,42,CIÊNCIAS AGRÁRIAS I,4581,5471
2009,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,420,428
2009,45,INTERDISCIPLINAR,5431,5529
2009,46,ENSINO,1353,1447
2009,47,MATERIAIS,454,458
2009,48,BIOTECNOLOGIA,723,728
2010,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,702,825
2010,2,CIÊNCIA DA COMPUTAÇÃO,2046,2190
2010,3,ASTRONOMIA / FÍSICA,932,1041
2010,4,QUÍMICA,2019,2272
2010,5,GEOCIÊNCIAS,1044,1157
2010,6,CIÊNCIAS BIOLÓGICAS I,2213,2387
2010,7,BIODIVERSIDADE,6775,7104
2010,8,CIÊNCIAS BIOLÓGICAS II,1834,1933
2010,9,CIÊNCIAS BIOLÓGICAS III,735,748
2010,10,ENGENHARIAS I,2653,2790
2010,11,ARTES / MÚSICA,1125,1170
2010,12,ENGENHARIAS II,2586,2761
2010,13,ENGENHARIAS III,3840,4016
2010,14,ENGENHARIAS IV,2809,3006
2010,15,MEDICINA I,2916,3029
2010,16,MEDICINA II,2585,2637
2010,17,MEDICINA III,1006,1031
2010,18,ODONTOLOGIA,2673,3257
2010,19,FARMÁCIA,1356,1433
2010,20,ENFERMAGEM,1873,2027
2010,21,EDUCAÇÃO FÍSICA,1651,1680
2010,22,SAÚDE COLETIVA,1678,1773
2010,23,ZOOTECNIA / RECURSOS PESQUEIROS,1829,2058
2010,24,MEDICINA VETERINÁRIA,2128,2256
2010,25,CIÊNCIA DE ALIMENTOS,1296,1360
2010,26,DIREITO,2842,2971
2010,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",3449,3635
2010,28,ECONOMIA,1217,1288
2010,29,ARQUITETURA E URBANISMO,1149,1186
2010,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,668,685
2010,31,CIÊNCIAS SOCIAIS APLICADAS I,1380,1470
2010,32,SERVIÇO SOCIAL,788,810
2010,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,752,822
2010,34,SOCIOLOGIA,1398,1566
2010,35,ANTROPOLOGIA / ARQUEOLOGIA,428,455
2010,36,GEOGRAFIA,1355,1444
2010,37,PSICOLOGIA,2630,2861
2010,38,EDUCAÇÃO,5112,5347
2010,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,565,673
2010,40,HISTÓRIA,2070,2228
2010,41,LETRAS / LINGUÍSTICA,4400,4846
2010,42,CIÊNCIAS AGRÁRIAS I,5700,6753
2010,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,417,477
2010,45,INTERDISCIPLINAR,5564,5659
2010,46,ENSINO,1513,1562
2010,47,MATERIAIS,606,618
2010,48,BIOTECNOLOGIA,801,814
2010,49,CIÊNCIAS AMBIENTAIS,3725,3744
2010,50,NUTRIÇÃO,1717,1723
2011,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,765,887
2011,2,CIÊNCIA DA COMPUTAÇÃO,1991,2128
