AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_DISTINTOS,CONTAGEM_PROGRAMAS_ATIVOS_DISTINTOS
2017,20,ENFERMAGEM,76,76
2017,21,EDUCAÇÃO FÍSICA,67,66
2017,22,SAÚDE COLETIVA,88,88
2017,23,ZOOTECNIA / RECURSOS PESQUEIROS,70,69
2017,24,MEDICINA VETERINÁRIA,83,83
2017,25,CIÊNCIA DE ALIMENTOS,58,58
2017,26,DIREITO,105,105
2017,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",188,187
2017,28,ECONOMIA,70,70
2017,29,"ARQUITETURA, URBANISMO E DESIGN",66,66
2017,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,46,46
2017,31,COMUNICAÇÃO E INFORMAÇÃO,84,83
2017,32,SERVIÇO SOCIAL,34,34
2017,33,FILOSOFIA,45,45
2017,34,SOCIOLOGIA,53,51
2017,35,ANTROPOLOGIA / ARQUEOLOGIA,31,31
2017,36,GEOGRAFIA,65,65
2017,37,PSICOLOGIA,92,92
2017,38,EDUCAÇÃO,176,176
2017,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,48,48
2017,40,HISTÓRIA,72,71
2017,41,LINGUÍSTICA E LITERATURA,155,155
2017,42,CIÊNCIAS AGRÁRIAS I,224,224
2017,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21,21
2017,45,INTERDISCIPLINAR,348,339
2017,46,ENSINO,154,154
2017,47,MATERIAIS,36,36
2017,48,BIOTECNOLOGIA,63,63
2017,49,CIÊNCIAS AMBIENTAIS,121,121
2017,50,NUTRIÇÃO,32,32
2018,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,59,59
2018,2,CIÊNCIA DA COMPUTAÇÃO,77,76
2018,3,ASTRONOMIA / FÍSICA,64,62
2018,4,QUÍMICA,73,72
2018,5,GEOCIÊNCIAS,56,56
2018,6,CIÊNCIAS BIOLÓGICAS I,64,63
2018,7,BIODIVERSIDADE,145,140
2018,8,CIÊNCIAS BIOLÓGICAS II,77,76
2018,9,CIÊNCIAS BIOLÓGICAS III,36,35
2018,10,ENGENHARIAS I,125,122
2018,11,ARTES,59,57
2018,12,ENGENHARIAS II,96,93
2018,13,ENGENHARIAS III,127,115
2018,14,ENGENHARIAS IV,92,90
2018,15,MEDICINA I,101,98
2018,16,MEDICINA II,105,103
2018,17,MEDICINA III,49,48
2018,18,ODONTOLOGIA,105,100
2018,19,FARMÁCIA,69,69
2018,20,ENFERMAGEM,75,74
2018,21,EDUCAÇÃO FÍSICA,68,66
2018,22,SAÚDE COLETIVA,89,89
2018,23,ZOOTECNIA / RECURSOS PESQUEIROS,69,68
2018,24,MEDICINA VETERINÁRIA,83,82
2018,25,CIÊNCIA DE ALIMENTOS,58,58
2018,26,DIREITO,106,106
2018,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",187,183
2018,28,ECONOMIA,69,69
2018,29,"ARQUITETURA, URBANISMO E DESIGN",66,66
2018,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,46,46
2018,31,COMUNICAÇÃO E INFORMAÇÃO,86,84
2018,32,SERVIÇO SOCIAL,33,33
2018,33,FILOSOFIA,46,45
2018,34,SOCIOLOGIA,53,51
2018,35,ANTROPOLOGIA / ARQUEOLOGIA,33,33
