AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_DISCENTES
2008,18,ODONTOLOGIA,3383
2008,19,FARMÁCIA,2396
2008,20,ENFERMAGEM,2851
2008,21,EDUCAÇÃO FÍSICA,2299
2008,22,SAÚDE COLETIVA,3429
2008,23,ZOOTECNIA / RECURSOS PESQUEIROS,3504
2008,24,MEDICINA VETERINÁRIA,3682
2008,25,CIÊNCIA DE ALIMENTOS,2349
2008,26,DIREITO,4959
2008,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",3770
2008,28,ECONOMIA,2229
2008,29,ARQUITETURA E URBANISMO,2231
2008,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,1207
2008,31,CIÊNCIAS SOCIAIS APLICADAS I,2407
2008,32,SERVIÇO SOCIAL,1647
2008,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,1753
2008,34,SOCIOLOGIA,3081
2008,35,ANTROPOLOGIA / ARQUEOLOGIA,1181
2008,36,GEOGRAFIA,2880
2008,37,PSICOLOGIA,3964
2008,38,EDUCAÇÃO,6260
2008,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,964
2008,40,HISTÓRIA,3559
2008,41,LETRAS / LINGUÍSTICA,4652
2008,42,CIÊNCIAS AGRÁRIAS I,6607
2008,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,915
2008,45,INTERDISCIPLINAR,2918
2008,46,ENSINO,1579
2008,47,MATERIAIS,983
2008,48,BIOTECNOLOGIA,1893
2009,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1797
2009,2,CIÊNCIA DA COMPUTAÇÃO,4207
2009,3,ASTRONOMIA / FÍSICA,3126
2009,4,QUÍMICA,4890
2009,5,GEOCIÊNCIAS,2923
2009,6,CIÊNCIAS BIOLÓGICAS I,5652
2009,7,BIODIVERSIDADE,2435
2009,8,CIÊNCIAS BIOLÓGICAS II,5003
2009,9,CIÊNCIAS BIOLÓGICAS III,2238
2009,10,ENGENHARIAS I,4759
2009,11,ARTES / MÚSICA,1643
2009,12,ENGENHARIAS II,5346
2009,13,ENGENHARIAS III,5543
2009,14,ENGENHARIAS IV,5050
2009,15,MEDICINA I,5151
2009,16,MEDICINA II,5051
2009,17,MEDICINA III,2437
2009,18,ODONTOLOGIA,3716
2009,19,FARMÁCIA,2618
2009,20,ENFERMAGEM,3244
2009,21,EDUCAÇÃO FÍSICA,2486
2009,22,SAÚDE COLETIVA,3606
2009,23,ZOOTECNIA / RECURSOS PESQUEIROS,3755
2009,24,MEDICINA VETERINÁRIA,4102
2009,25,CIÊNCIA DE ALIMENTOS,2653
2009,26,DIREITO,5367
2009,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",3966
2009,28,ECONOMIA,2357
2009,29,ARQUITETURA E URBANISMO,2317
2009,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,1321
2009,31,CIÊNCIAS SOCIAIS APLICADAS I,2547
2009,32,SERVIÇO SOCIAL,1856
2009,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,1828
2009,34,SOCIOLOGIA,3147
2009,35,ANTROPOLOGIA / ARQUEOLOGIA,1292
2009,36,GEOGRAFIA,3009
2009,37,PSICOLOGIA,4185
2009,38,EDUCAÇÃO,6667
2009,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,1087
2009,40,HISTÓRIA,3869
2009,41,LETRAS / LINGUÍSTICA,4793
2009,42,CIÊNCIAS AGRÁRIAS I,6973
2009,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,960
2009,45,INTERDISCIPLINAR,3126
2009,46,ENSINO,1756
2009,47,MATERIAIS,1100
2009,48,BIOTECNOLOGIA,2221
2010,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1913
2010,2,CIÊNCIA DA COMPUTAÇÃO,4157
2010,3,ASTRONOMIA / FÍSICA,3271
2010,4,QUÍMICA,5246
2010,5,GEOCIÊNCIAS,3123
