AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_PROXY_DISCENTES
2011,38,EDUCAÇÃO,111
2011,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,30
2011,40,HISTÓRIA,57
2011,41,LETRAS / LINGUÍSTICA,136
2011,42,CIÊNCIAS AGRÁRIAS I,185
2011,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,17
2011,45,INTERDISCIPLINAR,204
2011,46,ENSINO,67
2011,47,MATERIAIS,24
2011,48,BIOTECNOLOGIA,33
2011,49,CIÊNCIAS AMBIENTAIS,58
2011,50,NUTRIÇÃO,19
2012,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,54
2012,2,CIÊNCIA DA COMPUTAÇÃO,69
2012,3,ASTRONOMIA / FÍSICA,58
2012,4,QUÍMICA,61
2012,5,GEOCIÊNCIAS,49
2012,6,CIÊNCIAS BIOLÓGICAS I,63
2012,7,BIODIVERSIDADE,122
2012,8,CIÊNCIAS BIOLÓGICAS II,64
2012,9,CIÊNCIAS BIOLÓGICAS III,32
2012,10,ENGENHARIAS I,98
2012,11,ARTES / MÚSICA,39
2012,12,ENGENHARIAS II,76
2012,13,ENGENHARIAS III,108
2012,14,ENGENHARIAS IV,76
2012,15,MEDICINA I,79
2012,16,MEDICINA II,81
2012,17,MEDICINA III,36
2012,18,ODONTOLOGIA,97
2012,19,FARMÁCIA,51
2012,20,ENFERMAGEM,56
2012,21,EDUCAÇÃO FÍSICA,51
2012,22,SAÚDE COLETIVA,64
2012,23,ZOOTECNIA / RECURSOS PESQUEIROS,60
2012,24,MEDICINA VETERINÁRIA,58
2012,25,CIÊNCIA DE ALIMENTOS,48
2012,26,DIREITO,76
2012,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",121
2012,28,ECONOMIA,55
2012,29,ARQUITETURA E URBANISMO,41
2012,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,34
2012,31,CIÊNCIAS SOCIAIS APLICADAS I,57
2012,32,SERVIÇO SOCIAL,30
2012,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,42
2012,34,SOCIOLOGIA,52
2012,35,ANTROPOLOGIA / ARQUEOLOGIA,26
2012,36,GEOGRAFIA,49
2012,37,PSICOLOGIA,71
2012,38,EDUCAÇÃO,121
2012,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,32
2012,40,HISTÓRIA,63
2012,41,LETRAS / LINGUÍSTICA,139
2012,42,CIÊNCIAS AGRÁRIAS I,202
2012,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,17
2012,45,INTERDISCIPLINAR,236
2012,46,ENSINO,73
2012,47,MATERIAIS,27
2012,48,BIOTECNOLOGIA,40
2012,49,CIÊNCIAS AMBIENTAIS,64
2012,50,NUTRIÇÃO,20
2013,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,57
2013,2,CIÊNCIA DA COMPUTAÇÃO,70
2013,3,ASTRONOMIA / FÍSICA,60
2013,4,QUÍMICA,61
2013,5,GEOCIÊNCIAS,52
2013,6,CIÊNCIAS BIOLÓGICAS I,63
2013,7,BIODIVERSIDADE,129
2013,8,CIÊNCIAS BIOLÓGICAS II,63
2013,9,CIÊNCIAS BIOLÓGICAS III,32
2013,10,ENGENHARIAS I,103
2013,11,ARTES / MÚSICA,44
2013,12,ENGENHARIAS II,79
2013,13,ENGENHARIAS III,112
2013,14,ENGENHARIAS IV,82
2013,15,MEDICINA I,82
2013,16,MEDICINA II,86
2013,17,MEDICINA III,38
2013,18,ODONTOLOGIA,95
2013,19,FARMÁCIA,58
2013,20,ENFERMAGEM,62
2013,21,EDUCAÇÃO FÍSICA,50
2013,22,SAÚDE COLETIVA,72
2013,23,ZOOTECNIA / RECURSOS PESQUEIROS,61
2013,24,MEDICINA VETERINÁRIA,62
2013,25,CIÊNCIA DE ALIMENTOS,48
2013,26,DIREITO,79
2013,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",133
2013,28,ECONOMIA,55
2013,29,"ARQUITETURA, URBANISMO E DESIGN",50
2013,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,37
2013,31,COMUNICAÇÃO E INFORMAÇÃO,61
2013,32,SERVIÇO SOCIAL,32
2013,33,FILOSOFIA,41
2013,34,SOCIOLOGIA,53
2013,35,ANTROPOLOGIA / ARQUEOLOGIA,26
2013,36,GEOGRAFIA,52
2013,37,PSICOLOGIA,72
2013,38,EDUCAÇÃO,142
2013,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,34
2013,40,HISTÓRIA,64
2013,41,LETRAS / LINGUÍSTICA,139
2013,42,CIÊNCIAS AGRÁRIAS I,211
2013,44,TEOLOGIA,18
2013,45,INTERDISCIPLINAR,263
2013,46,ENSINO,94
2013,47,MATERIAIS,30
2013,48,BIOTECNOLOGIA,49
2013,49,CIÊNCIAS AMBIENTAIS,87
2013,50,NUTRIÇÃO,21
2014,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,58
2014,2,CIÊNCIA DA COMPUTAÇÃO,73
2014,3,ASTRONOMIA / FÍSICA,60
2014,4,QUÍMICA,63
